"DMA Code","% of US","Designated Market Area (DMA)","Rank","TV Homes"
"513","0.391","Flint-Saginaw-Bay City","67","446010"
"866","0.505","Fresno-Visalia","55","576820"
"571","0.440","Ft. Myers-Naples","62","502050"
"670","0.261","Ft. Smith-Fay-Sprngdl-Rgrs","101","297590"
"509","0.232","Ft. Wayne","109","265390"
"592","0.108","Gainesville","163","123430"
"798","0.004","Glendive","210","4050"
"773","0.062","Grand Junction-Montrose","185","70580"
"563","0.631","Grand Rapids-Kalmzoo-B.Crk","39","720150"
"755","0.058","Great Falls","190","65930"
"658","0.387","Green Bay-Appleton","69","441800"
"518","0.609","Greensboro-H.Point-W.Salem","46","695100"
"545","0.266","Greenville-N.Bern-Washngtn","100","303280"
"567","0.741","Greenvll-Spart-Ashevll-And","37","846030"
"647","0.058","Greenwood-Greenville","188","66410"
"636","0.319","Harlingen-Wslco-Brnsvl-McA","86","364160"
"566","0.628","Harrisburg-Lncstr-Leb-York","43","716990"
"569","0.079","Harrisonburg","178","90260"
"533","0.873","Hartford & New Haven","30","996550"
"710","0.096","Hattiesburg-Laurel","167","109950"
"766","0.025","Helena","206","28260"
"744","0.383","Honolulu","71","437790"
"618","1.941","Houston","10","2215650"
"691","0.342","Huntsville-Decatur (Flor)","79","390590"
"758","0.110","Idaho Fals-Pocatllo(Jcksn)","162","125710"
"527","0.954","Indianapolis","26","1089700"
"718","0.290","Jackson, MS","93","331500"
"639","0.081","Jackson, TN","176","93090"
"561","0.577","Jacksonville","50","659170"
"574","0.252","Johnstown-Altoona-St Colge","102","288100"
"734","0.071","Jonesboro","181","80740"
"603","0.132","Joplin-Pittsburg","149","151200"
"747","0.023","Juneau","207","26320"
"616","0.816","Kansas City","31","931320"
"557","0.456","Knoxville","61","520890"
"702","0.185","La Crosse-Eau Claire","128","211670"
"582","0.058","Lafayette, IN","189","66240"
"642","0.201","Lafayette, LA","124","229320"
"643","0.083","Lake Charles","175","94610"
"551","0.220","Lansing","115","251140"
"749","0.064","Laredo","184","72590"
"839","0.630","Las Vegas","40","718990"
"541","0.425","Lexington","64","485630"
"558","0.045","Lima","199","51240"
"722","0.242","Lincoln & Hastings-Krny","105","276790"
"693","0.492","Little Rock-Pine Bluff","56","561760"
"803","4.917","Los Angeles","2","5613460"
"529","0.588","Louisville","48","670880"
"651","0.140","Lubbock","142","159840"
"503","0.211","Macon","120","241170"
"669","0.330","Madison","85","376670"
"737","0.046","Mankato","198","52530"
"553","0.074","Marquette","180","84640"
"813","0.147","Medford-Klamath Falls","140","167820"
"640","0.581","Memphis","49","662830"
"711","0.060","Meridian","186","68860"
"528","1.420","Miami-Ft. Lauderdale","16","1621130"
"617","0.790","Milwaukee","34","902190"
"613","1.513","Minneapolis-St. Paul","15","1728050"
"687","0.131","Minot-Bsmrck-Dcknsn(Wlstn)","151","150000"
"762","0.099","Missoula","166","113010"
"686","0.461","Mobile-Pensacola (Ft Walt)","60","525990"
"628","0.154","Monroe-El Dorado","137","175960"
"828","0.196","Monterey-Salinas","125","224240"
"698","0.212","Montgomery-Selma","118","241930"
"570","0.250","Myrtle Beach-Florence","103","285550"
"659","0.889","Nashville","29","1014910"
"622","0.562","New Orleans","51","641550"
"501","6.468","New York","1","7384340"
"544","0.622","Norfolk-Portsmth-Newpt Nws","44","709730"
"740","0.013","North Platte","209","14720"
"633","0.129","Odessa-Midland","152","147730"
"650","0.630","Oklahoma City","41","718770"
"652","0.363","Omaha","75","414060"
"534","1.273","Orlando-Daytona Bch-Melbrn","19","1453170"
"631","0.041","Ottumwa-Kirksville","200","46730"
"632","0.340","Paducah-Cape Girard-Harsbg","81","388340"
"804","0.135","Palm Springs","148","154560"
"656","0.113","Panama City","159","129390"
"597","0.055","Parkersburg","193","62620"
"675","0.214","Peoria-Bloomington","116","244050"
"504","2.583","Philadelphia","4","2949310"
"753","1.587","Phoenix (Prescott)","13","1812040"
"508","1.021","Pittsburgh","23","1165740"
"820","1.035","Portland, OR","22","1182180"
"500","0.341","Portland-Auburn","80","389530"
"552","0.026","Presque Isle","205","29250"
"521","0.531","Providence-New Bedford","53","606400"
"717","0.091","Quincy-Hannibal-Keokuk","171","103520"
"560","1.008","Raleigh-Durham (Fayetvlle)","24","1150350"
"764","0.086","Rapid City","173","98020"
"811","0.233","Reno","108","265600"
"556","0.485","Richmond-Petersburg","57","553390"
"573","0.390","Roanoke-Lynchburg","68","445470"
"538","0.347","Rochester, NY","78","395680"
"611","0.126","Rochestr-Mason City-Austin","153","143330"
"610","0.157","Rockford","135","179240"
"862","1.215","Sacramnto-Stkton-Modesto","20","1387710"
"576","0.138","Salisbury","144","157830"
"770","0.803","Salt Lake City","33","917370"
"661","0.049","San Angelo","196","55820"
"641","0.772","San Antonio","36","881050"
"825","0.942","San Diego","28","1075120"
"807","2.191","San Francisco-Oak-San Jose","6","2502030"
"855","0.203","SantaBarbra-SanMar-SanLuOb","122","231950"
"507","0.293","Savannah","92","334750"
"819","1.593","Seattle-Tacoma","12","1818900"
"657","0.111","Sherman-Ada","161","126930"
"612","0.337","Shreveport","82","384410"
"624","0.136","Sioux City","147","154830"
"725","0.226","Sioux Falls(Mitchell)","112","258460"
"588","0.280","South Bend-Elkhart","95","319860"
"881","0.368","Spokane","73","420640"
"619","0.363","Springfield, MO","74","414570"
"543","0.222","Springfield-Holyoke","114","252950"
"638","0.040","St. Joseph","201","46180"
"609","1.089","St. Louis","21","1243490"
"555","0.331","Syracuse","84","377550"
"530","0.239","Tallahassee-Thomasville","106","273120"
"539","1.582","Tampa-St. Pete (Sarasota)","14","1806560"
"581","0.122","Terre Haute","154","139600"
"547","0.359","Toledo","76","409550"
"605","0.154","Topeka","136","176160"
"540","0.212","Traverse City-Cadillac","119","241800"
"531","0.279","Tri-Cities, TN-VA","96","319060"
"789","0.384","Tucson (Sierra Vista)","70","438440"
"671","0.462","Tulsa","59","526960"
"760","0.056","Twin Falls","191","64100"
"709","0.235","Tyler-Longview(Lfkn&Ncgd)","107","268150"
"526","0.090","Utica","172","102890"
"626","0.028","Victoria","204","31560"
"625","0.306","Waco-Temple-Bryan","88","349540"
"511","2.066","Washington, DC (Hagrstwn)","8","2359160"
"549","0.081","Watertown","177","92590"
"705","0.157","Wausau-Rhinelander","134","179450"
"548","0.696","West Palm Beach-Ft. Pierce","38","794310"
"554","0.114","Wheeling-Steubenville","158","130110"
"627","0.139","Wichita Falls & Lawton","143","158500"
"678","0.394","Wichita-Hutchinson Plus","66","450300"
"577","0.509","Wilkes Barre-Scranton-Hztn","54","581020"
"550","0.165","Wilmington","132","188420"
"810","0.203","Yakima-Pasco-Rchlnd-Knnwck","122","231950"
"536","0.228","Youngstown","110","260000"
"771","0.099","Yuma-El Centro","165","113230"
"596","0.029","Zanesville","203","32940"
